country;keywords animals
Afghanistan;Snow Leopard,Markhor,Afghan Urial,Ibex,Red Fox,Wolf,Brown Bear,Himalayan Brown Bear,Striped Hyena,Golden Jackal,Eurasian Lynx,Indian Wolf,Leopard,Jungle Cat,Caracal,Rhesus Macaque,Indian Porcupine,Indian Pangolin,Long-eared Hedgehog,Indian Hare,Common Palm Civet,Indian Grey Mongoose,Afghan Pika,Afghan Jerboa,Indian Gerbil,Steppe Polecat,Red-cheeked Ground Squirrel,Afghan Ground Squirrel,Afghan Mountain Vole,Afghan Pygmy Jerboa,Afghan Gerbil,Afghan Red Fox,Afghan Weasel,Long-tailed Weasel,Himalayan Marmot,Himalayan Beech Marten,Yellow-throated Marten,Stone Marten,Red Squirrel,Pallas's Squirrel,Grey Langur,Rhesus Macaque,Northern Palm Squirrel,Indian Flying Fox,Long-billed Pipit,Black-eared Kite,Himalayan Griffon Vulture,Egyptian Vulture,Himalayan Vulture,Bearded Vulture,Himalayan Snowcock,Chukar,Golden Eagle,Steppe Eagle,Imperial Eagle,Eurasian Eagle Owl,Great Grey Owl,Eurasian Hobby,Cinereous Vulture,Himalayan Monal,Bearded Parrotbill,Himalayan Snowfinch,White-winged Redstart,Wallcreeper,Long-tailed Shrike,Grey-hooded Warbler,Pied Wheatear,Hume's Wheatear,Hume's Whitethroat,Hume's Leaf Warbler,Hume's Short-toed Lark,Isabelline Wheatear,Red-tailed Wheatear,Afghan Babbler,Pied Bushchat,Pale Rockfinch,Hume's Tawny Owl,Rufous-tailed Rock Thrush,Hume's Owl,Bar-tailed Desert Lark,Hume's Ground Jay,Hume's Lesser Whitethroat,Hume's Warbler,Hume's Whitethroat,Hume's Short-toed Lark,Hume's Leaf Warbler,Hume's Wheatear,Afghan Snowfinch,White-winged Snowfinch,Himalayan Snowfinch,White-rumped Vulture,Eurasian Griffon Vulture,Himalayan Vulture,Himalayan Griffon Vulture,Eurasian Griffon Vulture,Himalayan Monal,Himalayan Snowcock,Himalayan Snowfinch,White-winged Snowfinch,Afghan Snowfinch
Albania;Wolf,Brown Bear,Wild Boar,Roe Deer,Red Deer,Chamois,Fox,Badger,Rabbit,Red Fox,Grey Wolf,Wildcat,Lynx,Golden Jackal,Red Squirrel,Marten,Weasel,Badger,Otter,Mouflon,Roe Deer,Wild Goat,Roe Deer,Wild Rabbit,Wild Boar,Wildcat,Red Fox,Grey Wolf,Red Deer,Chamois,Brown Bear,Wild Boar,Wild Rabbit,Red Fox,Grey Wolf,Wildcat,Lynx,Golden Jackal,Red Squirrel,Marten,Weasel,Badger,Otter,Mouflon,Roe Deer,Wild Goat,Roe Deer,Wild Rabbit,Wild Boar,Wildcat,Red Fox,Grey Wolf,Red Deer,Chamois,Brown Bear,Wild Boar,Wild Rabbit,Red Fox,Grey Wolf,Wildcat,Lynx,Golden Jackal,Red Squirrel,Marten,Weasel,Badger,Otter,Mouflon,Roe Deer,Wild Goat,Roe Deer,Wild Rabbit,Wild Boar,Wildcat,Red Fox,Grey Wolf,Red Deer,Chamois,Brown Bear,Wild Boar,Wild Rabbit,Red Fox,Grey Wolf,Wildcat,Lynx,Golden Jackal,Red Squirrel,Marten,Weasel,Badger,Otter,Mouflon,Roe Deer,Wild Goat,Roe Deer,Wild Rabbit,Wild Boar,Wildcat,Red Fox,Grey Wolf
Algeria;Barbary Sheep,Greater Flamingo,Wild Boar,Red Fox,Barbary Macaque,Striped Hyena,Golden Jackal,Common Genet,Common Hippopotamus,Common Otter,Common Porcupine,Sand Cat,Rüppell's Fox,Blanford's Fox,Algerian Hedgehog,Golden Eagle,Bonelli's Eagle,Eurasian Eagle-Owl,Little Owl,Long-Eared Owl,Scops Owl,Pallid Harrier,Montagu's Harrier,Eurasian Kestrel,Barbary Falcon,Lanner Falcon,Saker Falcon,Eurasian Hobby,Eurasian Collared Dove,Laughing Dove,Mourning Dove,Little Swift,Pallid Swift,Alpine Swift,Eurasian Crag Martin,Red-Rumped Swallow,Sand Martin,Barn Swallow,House Martin,White-Rumped Swift,Lesser Kestrel,Great Spotted Cuckoo,Black-Backed Jackal,Rock Hyrax,Desert Hedgehog,Algerian Nuthatch,Eurasian Hoopoe,Eurasian Jay,Common Magpie,Common Raven,Eurasian Skylark,Crested Lark,Pallid Scops Owl,Long-Legged Buzzard,Eurasian Griffon Vulture,Egyptian Vulture,Eurasian Marsh Harrier,Eurasian Hobby,Eurasian Hobby,Eurasian Hobby,Lesser Kestrel,Red-Billed Chough,Eurasian Wryneck,Woodchat Shrike,Great Grey Shrike,Masked Shrike,Eurasian Golden Oriole,Eurasian Blackbird,Common Nightingale,Sardinian Warbler,Subalpine Warbler,Orphean Warbler,Western Orphean Warbler,Rufous Bush Robin,Common Redstart,Northern Wheatear,Black-Eared Wheatear,Common Stonechat,Black-Crowned Tchagra,Common Chiffchaff,Common Whitethroat,Eurasian Blackcap,Lesser Whitethroat,Subalpine Warbler,Eurasian Reed Warbler,Great Reed Warbler,Cetti's Warbler,Eurasian Penduline Tit,Eurasian Blue Tit,Great Tit,Eurasian Nuthatch,Eurasian Treecreeper,Eurasian Jay,Eurasian Magpie,Eurasian Jackdaw,Hooded Crow,Common Starling,House Sparrow,Spanish Sparrow,Common Chaffinch,Eurasian Linnet
American Samoa;Flying fox,Polynesian rat,Pacific boa,Pacific gecko,Pacific tree frog,Pacific green turtle,Hawksbill turtle,Green turtle,Olive ridley turtle,Leatherback turtle,Spotted eagle ray,Manta ray,Reef triggerfish,Clown triggerfish,White-tip reef shark,Nurse shark,Gray reef shark,Blacktip reef shark,Whitetip reef shark,Great hammerhead shark,Lemon shark,Wahoo,Mahimahi,Yellowfin tuna,Skipjack tuna,Bigeye tuna,Marlin,Sailfish,Barracuda,Rainbow runner,Emperor fish,Parrotfish,Surgeonfish,Unicornfish,Moorish idol,Butterflyfish,Angelfish,Chromis,Damselfish,Giant clam,Snapper,Grouper,Jack,Mullet,Triggerfish,Trumpetfish,Octopus,Cuttlefish,Squid,Lobster,Humphead wrasse,Red lionfish,Red snapper,White-spotted puffer,Blue-spotted puffer,Spotted puffer,Leopard shark,Whale shark,Rough-toothed dolphin,Bottlenose dolphin,Spinner dolphin,Frigatebird,Great frigatebird,Masked booby,Brown booby,Red-footed booby,White tern,White-tailed tropicbird,Red-tailed tropicbird,Common noddy,Brown noddy,Sooty tern,Great crested tern,Bridled tern,Black noddy,Brown noddy,Wedge-tailed shearwater,Bulwer's petrel,White-tailed tropicbird,Red-tailed tropicbird,White-tailed tropicbird,Red-footed booby,Brown booby,Masked booby,Great frigatebird,Red-footed booby,Brown booby,Masked booby,Great frigatebird,Red-footed booby,Brown booby,Masked booby,Great frigatebird,White tern,Bridled tern,Sooty tern,Brown noddy,Black noddy,Wedge-tailed shearwater,Bulwer's petrel
Andorra;Wild Boar,Pyrenean Chamois,Red Deer,Roe Deer,Pyrenean Marmot,Fox,Wolf,Capercaillie,Golden Eagle,Bearded Vulture,Griffon Vulture,Egyptian Vulture,Peregrine Falcon,Black Woodpecker,Hazel Grouse,Alpine Accentor,Wallcreeper,Citril Finch,Firecrest,Ring Ouzel,Raven,Crag Martin,Alpine Swift,Alpine Chough,Red-billed Chough,Alpine Cuckoo,Red-backed Shrike,Black Redstart,Rock Thrush,Wheatear,Red-rumped Swallow,Crag Warbler,Black Wheatear,Blackcap,Firecrest,Red Crossbill,Booted Eagle,Honey Buzzard,Lesser Spotted Eagle,Great Grey Shrike,Common Cuckoo,Common Kingfisher,Common Kestrel,Common Buzzard,Common Wood Pigeon,Eurasian Magpie,Eurasian Jay,Eurasian Nuthatch,Eurasian Wren,Eurasian Blue Tit,Eurasian Blackcap,Eurasian Siskin,Eurasian Bullfinch,Eurasian Goldfinch,Eurasian Treecreeper,Eurasian Hoopoe,Eurasian Jackdaw,Eurasian Collared Dove,Eurasian Red Squirrel,Eurasian Badger,Wild Cat,Weasel,Stoat,European Otter,European Hare,European Hedgehog,Brown Bear,Pyrenean Desman,Pyrenean Dormouse,Pyrenean Broomrape,Pyrenean Orchid,Pyrenean Stag Beetle,Pyrenean Butterwort,Pyrenean Snowbell,Pyrenean Centaury,Pyrenean Milkwort,Pyrenean Gentian,Pyrenean Dandelion,Pyrenean Saxifrage,Pyrenean Sage,Pyrenean Columbine,Pyrenean Sandwort,Pyrenean Vetch,Pyrenean Rose,Pyrenean Thyme,Pyrenean Primrose,Pyrenean Primula,Pyrenean Snowdrop,Pyrenean Bellflower,Pyrenean Marigold,Pyrenean Daisy,Pyrenean Hawkweed,Pyrenean Buttercup,Pyrenean Gentian,Pyrenean Poppy,Pyrenean Anemone,Pyrenean Hawk Moth,Pyrenean Bluet,Pyrenean White-faced Darter,Pyrenean Emerald Dragonfly
Angola;African Elephant,African Lion,African Leopard,African Wild Dog,Cheetah,Hippopotamus,African Buffalo,Spotted Hyena,Warthog,Giraffe,Baboon,Bushbuck,Oribi,Roan Antelope,Sable Antelope,Impala,Greater Kudu,Waterbuck,Bushpig,Jackal,Serval,Civet,Mongoose,Genet,African Wild Cat,Caracal,Honey Badger,Striped Polecat,Aardvark,Aardwolf,Porcupine,Rock Hyrax,African Bush Elephant,African Civet,African Wild Ass,African Wild Pig,Common Warthog,Common Zebra,Damara Dik-Dik,Dwarf Mongoose,Guereza,Hartebeest,Klipspringer,Ostrich,Red River Hog,Red-Billed Quelea,Reedbuck,Ruppell's Fox,Scrub Hare,Slender Mongoose,Springhare,Steenbok,Suni,Vervet Monkey,Water Mongoose,Yellow Mongoose,Banded Mongoose,Black-Backed Jackal,Black-Faced Impala,Black-Necked Grebe,Black-Tailed Mongoose,Caracal Lynx,Crested Porcupine,Crowned Crane,Dung Beetle,Four-Toed Hedgehog,Giant Eagle Owl,Greater Flamingo,Hartlaub's Duck,Hildebrandt's Francolin,Hippopotamus,Honeyguide,Klipspringer,Leopard Tortoise,Marsh Mongoose,Nile Monitor,Palm-Nut Vulture,Pygmy Falcon,Red-Billed Hornbill,Rock Monitor,Sacred Ibis,Secretary Bird,Side-Striped Jackal,Spotted Thick-Knee,Striped Mongoose,Tawny Eagle,Tree Pangolin,Vulturine Guineafowl,Wattled Crane,Weavers,White-Backed Vulture,White-Bellied Bustard,White-Faced Whistling Duck,Yellow-Billed Oxpecker,Yellow-Billed Stork,Yellow-Throated Sandgrouse,African Clawless Otter,African Fish Eagle,African Harrier Hawk,African Palm Civet
Anguilla;Anguillid eel,Sea turtle,Lobster,Spotted moray eel,Cownose ray,Barracuda,Yellowtail snapper,Hogfish,Queen triggerfish,Great barracuda,Reef squid,Caribbean spiny lobster,Nassau grouper,French grunt,Atlantic spadefish,Porcupinefish,Blue chromis,Tiger grouper,Blue tang,Reef shark,Spotted drum,Horse-eye jack,Rainbow parrotfish,King mackerel,French angelfish,Gray snapper,Longspine porcupinefish,Cobia,Bluehead wrasse,Yellow stingray,Creole wrasse,Atlantic sharpnose shark,Yellowtail damselfish,Sailfin tang,Creole wrasse,Mahogany snapper,Black durgeon,Blue marlin,Hogfish,Blue chromis,Bar jack,Spotted eagle ray,Queen triggerfish,Red hind,Almaco jack,French grunt,Spotted drum,Smooth trunkfish,Skipjack tuna,Yellow goatfish,Jackknife fish,Red hind,Creole wrasse,Sand tilefish,Reef shark,Lane snapper,Queen triggerfish,Great barracuda,Yellow goatfish,Caribbean spiny lobster,Blue tang,King mackerel,Cero mackerel,Hogfish,Gray snapper,Longspine porcupinefish,Atlantic spadefish,Sailfin tang,Bar jack,Spotted moray eel,Blue marlin,Yellow stingray,Porcupinefish,French angelfish,Creole wrasse,Bluehead wrasse,Mahogany snapper,Lane snapper,Black durgeon,Almaco jack,Cobia,Rainbow parrotfish,Spotted eagle ray,Sea turtle,Horse-eye jack,Jackknife fish,Red hind,Sand tilefish,Cownose ray,Smooth trunkfish,Lobster,Barracuda,Anguillid eel,Yellowtail snapper,Skipjack tuna,Tiger grouper,Blue chromis,Atlantic sharpnose shark,Yellowtail damselfish,Nassau grouper
Antigua & Barbuda;Green Iguana,West Indian Whistling Duck,Common Ground Dove,American Kestrel,Laughing Gull,Brown Booby,Magnificent Frigatebird,Brown Pelican,Royal Tern,Bridled Quail-Dove,Red-billed Tropicbird,Caribbean Elaenia,Yellow Warbler,Bananaquit,Caribbean Martin,Caribbean Coot,Caribbean Cattle Egret,Caribbean Dove,Caribbean Flicker,Caribbean Coot,Caribbean Coot,Caribbean Coot,Caribbean Coot,Caribbean Coot,Caribbean Coot,Caribbean Coot,Caribbean Coot,Caribbean Coot,Caribbean Coot,Caribbean Coot,Caribbean Coot,Caribbean Coot,Caribbean Coot,Caribbean Coot,Caribbean Coot,Caribbean Coot,Caribbean Coot,Caribbean Coot,Caribbean Coot,Caribbean Coot,Caribbean Coot,Caribbean Coot,Caribbean Coot,Caribbean Coot,Caribbean Coot,Caribbean Coot,Caribbean Coot,Caribbean Coot,Caribbean Coot,Caribbean Coot,Caribbean Coot,Caribbean Coot,Caribbean Coot,Caribbean Coot,Caribbean Coot,Caribbean Coot,Caribbean Coot,Caribbean Coot,Caribbean Coot,Caribbean Coot,Caribbean Coot,Caribbean Coot,Caribbean Coot,Caribbean Coot,Caribbean Coot,Caribbean Coot,Caribbean Coot,Caribbean Coot,Caribbean Coot,Caribbean Coot,Caribbean Coot,Caribbean Coot,Caribbean Coot,Caribbean Coot,Caribbean Coot,Caribbean Coot,Caribbean Coot,Caribbean Coot,Caribbean Coot,Caribbean Coot,Caribbean Coot,Caribbean Coot,Caribbean Coot,Caribbean Coot,Caribbean Coot,Caribbean Coot,Caribbean Coot,Caribbean Coot,Caribbean Coot,Caribbean Coot,Caribbean Coot,Caribbean Coot,Caribbean Coot,Caribbean Coot,Caribbean Coot,Caribbean Coot,Caribbean Coot,Caribbean Coot,Caribbean Coot,Caribbean Coot
Argentina;Jaguar,Puma,Llama,Guanaco,Tapir,Patagonian Mara,Greater Rhea,Lesser Rhea,Andean Condor,Magellanic Woodpecker,Black-necked Swan,Southern Screamer,Chaco Chachalaca,Crested Tinamou,Burrowing Owl,Magellanic Penguin,South American Gray Fox,South American Coati,South American Sea Lion,South American Fur Seal,South American Otter,South American River Otter,Southern Viscacha,Southern Caracara,Black-chested Buzzard-Eagle,King Vulture,Carunculated Caracara,American Kestrel,Puna Ibis,Chimango Caracara,Black-hooded Siskin,Andean Goose,Great Grebe,Southern Lapwing,Black-crowned Night Heron,Spectacled Tyrant,Turkey Vulture,Pampas Cat,Pampas Fox,Striped Hog-nosed Skunk,Chaco Peccary,Chacoan Mara,Chacoan Chinchilla,Chacoan Fox,Chacoan Agouti,Chacoan Burrowing Owl,Chacoan Grey Fox,Chacoan Tuco-tuco,Argentine Pampas Deer,Argentine Red Brocket,Argentine Tufted Deer,Argentine Grey Fox,Argentine Pampas Cat,Argentine Black and White Tegu,Argentine Coati,Argentine Polar Fox,Argentine Gray Fox,Argentine Skunk,Argentine Water Opossum,Argentinean Hog-nosed Skunk,Argentinean Puma,Argentinean Weasel,Argentinean Grey Fox,Argentinean Pampas Cat,Argentinean Pampas Fox,Argentinean Pampas Wolf,Argentinean Red Brocket,Argentinean Tuco-tuco,Argentinean Yellow-tailed Woolly Monkey,Greater Rhea,Lesser Rhea,Darwin's Rhea,Darwin's Fox,Darwin's Nothura,Darwin's Teal,Darwin's Finches,Darwin's Rice Rat,Darwin's Leaf-eared Mouse,Darwin's Ricebird,Darwin's Big-eared Opossum,Darwin's Frog,Darwin's Galapagos Mouse,Darwin's Big-eared Bat,Darwin's Short-eared Owl,Darwin's Short-tailed Opossum,Darwin's Silktail,Darwin's Flycatcher,Darwin's Mockingbird,Darwin's Rice Rat,Darwin's Ricebird,Darwin's Rice Rat,Darwin's Ricebird,Darwin's Rice Rat,Darwin's Ricebird,Darwin's Rice Rat,Darwin's Ricebird,Darwin's Rice Rat,Darwin's Ricebird,Darwin's Rice Rat,Darwin's Ricebird
Armenia;Armenian mouflon,Armenian Gull,Caucasian red deer,European roe deer,Wild boar,Brown bear,Wolf,Red fox,Grey fox,Beech marten,Eurasian lynx,Golden jackal,Red squirrel,Wildcat,European badger,Common hamster,European hedgehog,European otter,Common dormouse,European polecat,Long-eared hedgehog,Wild goat,Marbled polecat,European hedgehog,European pine marten,European hare,European beaver,Roe deer,Wild rabbit,Wild boar,Wild horse,Wild donkey,Wild mink,Stoat,Weasel,Wild boar,Wild cat,Wild goat,Wild sheep,Wild dog,Red deer,Roe deer,Red fox,Grey wolf,Golden jackal,Red squirrel,Eurasian lynx,Beech marten,European badger,Common hamster,European otter,European polecat,Long-eared hedgehog,Marbled polecat,European hedgehog,European pine marten,European hare,European beaver,Egyptian mongoose,Raccoon dog,European mink,European polecat,Wildcat,Grey heron,White stork,White-tailed eagle,Black vulture,Griffon vulture,Eurasian eagle owl,Long-eared owl,Eurasian scops owl,Eurasian kestrel,Eurasian sparrowhawk,Common buzzard,Common kestrel,Red-footed falcon,Eurasian hobby,Common swift,Eurasian jay,Eurasian magpie,Hooded crow,Rook,Eurasian skylark,Eurasian wren,White wagtail,Common chaffinch,Eurasian blackbird,Common starling,Common nightingale,Common linnet,European greenfinch,Common crossbill,Common redstart,Common stonechat,Common cuckoo,Common wood pigeon,Eurasian collared dove,Common quail,European turtle dove,Black francolin
