country,keywords
Afghanistan,"Kabuli Palaw,Mantu,Bolani,Qorma,Shorwa,Aushak,Ashak,Kebab,Quabili Pallow,Shami Kebab,Aush,Kofta,Biryani,Kaddo,Chalau,Sheer Birinj,Bolani Lawang,Naan,Bolani Kadu,Mantu Palaw,Bolani Banjan,Bolani Kadu,Kichiri,Kebab-e-Mazari,Kebab-e-Qorma,Kebab-e-Barg,Kebab-e-Kofta,Kebab-e-Shami,Kebab-e-Tikka,Kebab-e-Kabuli,Kebab-e-Lamb,Kebab-e-Khameer,Kebab-e-Chalow,Kebab-e-Kabab,Kebab-e-Korma,Kebab-e-Kofta-e-Palaw,Kebab-e-Lamb-e-Palaw,Kebab-e-Kofta-e-Kabab,Kebab-e-Tikka-e-Kabab,Kebab-e-Kabab-e-Kabab,Kebab-e-Kofta-e-Kabab-e-Kabab,Kebab-e-Kofta-e-Barg,Kebab-e-Kofta-e-Tikka,Kebab-e-Kofta-e-Korma,Kebab-e-Kofta-e-Kofta,Kebab-e-Kofta-e-Lamb,Kebab-e-Kofta-e-Kofta-e-Palaw,Kebab-e-Kofta-e-Kabab-e-Kabab,Kebab-e-Kofta-e-Kabab-e-Barg,Kebab-e-Kofta-e-Kabab-e-Tikka,Kebab-e-Kofta-e-Kabab-e-Korma,Kebab-e-Kofta-e-Kabab-e-Kofta,Kebab-e-Kofta-e-Kabab-e-Lamb,Kebab-e-Kofta-e-Kabab-e-Khameer,Kebab-e-Kofta-e-Kabab-e-Chalow,Kebab-e-Kofta-e-Kabab-e-Kabab,Kebab-e-Kofta-e-Kabab-e-Kofta-e-Palaw,Kebab-e-Kofta-e-Kabab-e-Kofta-e-Kabab,Kebab-e-Kofta-e-Kabab-e-Kofta-e-Tikka,Kebab-e-Kofta-e-Kabab-e-Kofta-e-Korma,Kebab-e-Kofta-e-Kabab-e-Kofta-e-Kofta,Kebab-e-Kofta-e-Kabab-e-Kofta-e-Lamb,Kebab-e-Kofta-e-Kabab-e-Kofta-e-Khameer,Kebab-e-Kofta-e-Kabab-e-Kofta-e-Chalow,Kebab-e-Kofta-e-Kabab-e-Kofta-e-Kabab,Kebab-e-Kofta-e-Kabab-e-Kofta-e-Kofta-e-Palaw,Kebab-e-Kofta-e-Kabab-e-Kofta-e-Kabab-e-Barg,Kebab-e-Kofta-e-Kabab-e-Kofta-e-Kabab-e-Tikka,Kebab-e-Kofta-e-Kabab-e-Kofta-e-Kabab-e-Korma,Kebab-e-Kofta-e-Kabab-e-Kofta-e-Kabab-e-Kofta,Kebab-e-Kofta-e-Kabab-e-Kofta-e-Kabab-e-Lamb,Kebab-e-Kofta-e-Kabab-e-Kofta-e-Kabab-e-Khameer,Kebab-e-Kofta-e-Kabab-e-Kofta-e-Kabab-e-Chalow,Kebab-e-Kofta-e-Kabab-e-Kofta-e-Kabab-e-Kabab,Aushak-e-Mast,Aushak-e-Kebab,Aushak-e-Qorma,Aushak-e-Barg,Aushak-e-Tikka,Aushak-e-Kabuli,Aushak-e-Lamb,Aushak-e-Khameer,Aushak-e-Chalow,Aushak-e-Kabab,Aushak-e-Korma,Aushak-e-Kofta,Aushak-e-Kofta-e-Palaw,Aushak-e-Kofta-e-Kabab,Aushak-e-Kofta-e-Tikka,Aushak-e-Kofta-e-Korma,Aushak-e-Kofta-e-Kofta,Aushak-e-Kofta-e-Lamb,Aushak-e-Kofta-e-Kofta-e-Palaw,Aushak-e-Kofta-e-Kabab-e-Kabab,Aushak-e-Kofta-e-Kabab-e-Barg,Aushak-e-Kofta-e-Kabab-e-Tikka,Aushak-e-Kofta-e-Kabab-e-Korma,Aushak-e-Kofta-e-Kabab-e-Kofta,Aushak-e-Kofta-e-Kabab-e-Lamb,Aushak-e-Kofta-e-Kabab-e-Khameer"
Albania,"Burek,Kofte,Tavë Kosi,Byrek,Fërgesë,Qofte me Mish,Fërgesë me Mish,Tavë Dheu,Qofte me Perime,Speca të Skuqura,Speca me Mish,Speca me Karkaleca,Speca me Spinaq,Sufllaqe,Gjelle me Mish,Gjelle me Perime,Gjelle me Karkaleca,Gjelle me Spinaq,Pilaf,Qebapa,Pica,Pule me Mish,Pule me Perime,Pule me Karkaleca,Pule me Spinaq,Peshk me Mish,Peshk me Perime,Peshk me Karkaleca,Peshk me Spinaq,Krap me Mish,Krap me Perime,Krap me Karkaleca,Krap me Spinaq,Bakllava,Fli,Turli,Kadaif,Kifle,Byrek me Mish,Byrek me Perime,Byrek me Karkaleca,Byrek me Spinaq,Salcë Kosi,Salcë me Mish,Salcë me Perime,Salcë me Karkaleca,Salcë me Spinaq,Sallatë Kosi,Sallatë me Mish,Sallatë me Perime,Sallatë me Karkaleca,Sallatë me Spinaq,Tavë me Mish,Tavë me Perime,Tavë me Karkaleca,Tavë me Spinaq,Grurë me Mish,Grurë me Perime,Grurë me Karkaleca,Grurë me Spinaq,Kukurec me Mish,Kukurec me Perime,Kukurec me Karkaleca,Kukurec me Spinaq,Djathë me Mish,Djathë me Perime,Djathë me Karkaleca,Djathë me Spinaq,Kastravec me Mish,Kastravec me Perime,Kastravec me Karkaleca,Kastravec me Spinaq,Tave Kosi me Mish,Tave Kosi me Perime,Tave Kosi me Karkaleca,Tave Kosi me Spinaq,Byrek me Mish,Byrek me Perime,Byrek me Karkaleca,Byrek me Spinaq,Pjatë me Mish,Pjatë me Perime,Pjatë me Karkaleca,Pjatë me Spinaq,Salcë me Mish,Salcë me Perime,Salcë me Karkaleca,Salcë me Spinaq,Pite me Mish,Pite me Perime,Pite me Karkaleca,Pite me Spinaq,Fërgesë me Mish,Fërgesë me Perime,Fërgesë me Karkaleca,Fërgesë me Spinaq,Qofte me Mish,Qofte me Perime,Qofte me Karkaleca,Qofte me Spinaq"
Algeria,"Couscous,Merguez,Mechoui,Chorba,Harira,Tanjia,Garantita,Brik,Makroudh,Baghrir,Kebab,Tajine,Msemen,Chakhchoukha,Bessara,Chtitha,Mloukhia,Fricassee,Felfel,Maklouba,Bredele,Bambalouni,Bourek,Bissara,Breda,Karantika,Brik a l’oeuf,Zlabia,Fricadelle,Mqualli,Djej mahchi,Djej mfawra,Djej mhammas,Chakhchoukha djaj,Mderbel,Sfenj,Ghriba,Maamoul,Loubia,Boulgour,Berber pizza,Kessra,Mesfouf,Chorba frik,Chorba baida,Chorba t’faya,Chorba t’faya m’hammara,Chorba t’faya m’kadra,Chorba t’faya m’hassi,Chorba t’faya m’felou,Chorba t’faya m’bouza,Chorba t’faya m’fouka,Chorba t’faya m’dardara,Chorba t’faya m’douira,Chorba t’faya m’douka,Chorba t’faya m’djej,Chorba t’faya m’goulash,Chorba t’faya m’hassi,Chorba t’faya m’kadra,Chorba t’faya m’kabda,Chorba t’faya m’kadra,Chorba t’faya m’khadra,Chorba t’faya m’khroub,Chorba t’faya m’kroub,Chorba t’faya m’machoui,Chorba t’faya m’makroudh,Chorba t’faya m’mhammas,Chorba t’faya m’mloukhia,Chorba t’faya m’selou,Chorba t’faya m’selouka,Chorba t’faya m’souka,Chorba t’faya m’toum,Chorba t’faya m’zlabia,Chorba t’faya m’zraa,Chorba t’faya m’zraa,Chorba t’faya m’zouara,Chorba t’faya m’zouara,Chorba t’faya m’zraa,Chorba t’faya m’zraa,Chorba t’faya m’zraa,Chorba t’faya m’zraa,Chorba t’faya m’zraa,Chorba t’faya m’zraa,Chorba t’faya m’zraa,Chorba t’faya m’zraa,Chorba t’faya m’zraa,Chorba t’faya m’zraa,Chorba t’faya m’zraa,Chorba t’faya m’zraa,Chorba t’faya m’zraa,Chorba t’faya m’zraa,Chorba t’faya m’zraa,Chorba t’faya m’zraa,Chorba t’faya m’zraa,Chorba t’faya m’zraa,Chorba t’faya m’zraa,Chorba t’faya m’zraa,Chorba t’faya m’zraa,Chorba t’faya m’zraa,Chorba t’faya m’zraa"
American Samoa,"Taro,Fish,Coconut,Breadfruit,Bananas,Papayas,Mangoes,Pineapples,Sweet Potatoes,Yams,Cassava,Rice,Octopus,Lobster,Tuna,Mahi-Mahi,Wahoo,Coconut Milk,Poi,Palusami,Oka,Fa'alifu,Palusami,Pancakes,Fried Chicken,Pork,Beef,Chicken,Fruits,Vegetables,Samoan Pie,Samoan Donuts,Samoan Bread,Samoan Cake,Samoan Pudding,Samoan Cookies,Samoan Fritters,Samoan Pies,Samoan Soups,Samoan Salads,Samoan Stews,Samoan Curries,Samoan Sauces,Samoan Dips,Samoan Sauces,Samoan Drinks,Samoan Juices,Samoan Cocktails,Samoan Smoothies,Samoan Shakes,Samoan Ice Cream,Samoan Candies,Samoan Sweets,Samoan Snacks,Samoan Sauces,Samoan Sauces,Samoan Spices,Samoan Herbs,Samoan Breads,Samoan Noodles,Samoan Rice,Samoan Tofu,Samoan Tempeh,Samoan Seaweed,Samoan Nuts,Samoan Seeds,Samoan Coconut Cream,Samoan Coconut Milk,Samoan Coconut Water,Samoan Coconut Oil,Samoan Coconut Flour,Samoan Coconut Sugar,Samoan Coconut Shavings,Samoan Coconut Chips,Samoan Coconut Cream,Samoan Coconut Syrup,Samoan Coconut Jam,Samoan Coconut Butter,Samoan Coconut Curry,Samoan Coconut Soup,Samoan Coconut Milk Tea,Samoan Coconut Milk Coffee,Samoan Coconut Milk Ice Cream,Samoan Coconut Milk Pudding,Samoan Coconut Milk Yogurt,Samoan Coconut Milk Smoothie,Samoan Coconut Milk Shakes,Samoan Coconut Milk Custard,Samoan Coconut Milk Rice,Samoan Coconut Milk Popsicles,Samoan Coconut Milk Pancakes,Samoan Coconut Milk Latte,Samoan Coconut Milk Cake,Samoan Coconut Milk Fudge,Samoan Coconut Milk Chocolate,Samoan Coconut Milk Cookies,Samoan Coconut Milk Pie,Samoan Coconut Milk Ice Cream Sandwiches,Samoan Coconut Milk Popsicles,Samoan Coconut Milk Milkshakes"
Andorra,"Catalan cuisine,Escudella,Cargols,Trinxat,Escudella i carn d'olla,Botifarra,Embotits,Pa amb tomàquet,Mató,Crema catalana,Coques,Fricandó,Escalivada,Suquet de peix,Arròs negre,Arròs a la cassola,Civet de senglar,Faves a la catalana,Escabetx,Crema de formatge,Coca de recapte,Panellets,Calçots,Pilotes,Pa de pessic,Escudella de galets,Caragols a la llauna,Sarsuela,Suquet de rap,Pebrots de Padrón,Crema de mongetes,Fideuà,Escalivada amb anxoves,Crema de carabassa,Sopa de galets,Cargols a la llauna,Arròs amb ceps,Escalivada amb anxoves,Crema de carbassa,Escalivada amb anxoves,Fideuà amb sepionets,Fricandó de vedella,Arròs amb costelles,Arròs amb conill,Arròs amb pollastre,Arròs amb verdures,Arròs melós,Arròs amb gambes,Arròs amb botifarra,Arròs amb all i julivert,Arròs amb caragols,Arròs amb tonyina,Arròs a l'estil de l'Empordà,Arròs a l'estil de l'Ebre,Arròs a l'estil del Segrià,Arròs a l'estil de la Garrotxa,Arròs amb cloïsses,Arròs amb bacallà,Arròs amb pernil,Arròs amb tòfona,Arròs amb costella,Arròs amb botifarra negra,Arròs amb ceba i all,Arròs amb bolets,Arròs amb perdiu,Arròs amb xoriço,Arròs amb llagostins,Arròs amb musclos,Arròs amb sípia,Arròs amb tòfona negra,Arròs amb verdures,Arròs amb pollastre,Arròs a la catalana,Arròs a la marinera,Arròs a la cassola,Arròs a la brasa,Arròs amb costelles,Arròs amb albergínia,Arròs amb bolets,Arròs amb fesols,Arròs amb verdures,Arròs amb carxofes,Arròs amb pebrots,Arròs amb ceba,Arròs amb mongetes,Arròs amb peres,Arròs amb tòfona,Arròs amb carabasses,Arròs amb pinyons,Arròs amb llagostins,Arròs amb gambes,Arròs amb xoriço,Arròs amb cloïsses,Arròs amb musclos,Arròs amb sepionets,Arròs amb tonyina,Arròs amb verdures i bolets,Arròs amb pernil,Arròs amb tòfona negra,Arròs amb pollastre i verdures"
Angola,"Cachupa,Funge,Calulu,Muamba de Galinha,Kizaca,Matapa,Piripiri,Moamba de Peixe,Muamba de Camarão,Pirão,Moamba de Galinha,Muamba de Galinha com Peixe,Muamba de Marisco,Muamba de Caril,Muamba de Peixe com Coco,Muamba de Peixe com Banana,Muamba de Peixe com Mandioca,Muamba de Peixe com Frutos do Mar,Muamba de Frango,Muamba de Carne de Porco,Muamba de Carne de Vaca,Muamba de Carne de Carneiro,Muamba de Frutos do Mar,Muamba de Camarão com Coco,Muamba de Camarão com Banana,Muamba de Camarão com Mandioca,Muamba de Camarão com Frutos do Mar,Muamba de Camarão com Frango,Muamba de Camarão com Carne de Porco,Muamba de Camarão com Carne de Vaca,Muamba de Camarão com Carne de Carneiro,Muamba de Carne de Porco com Coco,Muamba de Carne de Porco com Banana,Muamba de Carne de Porco com Mandioca,Muamba de Carne de Porco com Frutos do Mar,Muamba de Carne de Porco com Frango,Muamba de Carne de Porco com Carne de Vaca,Muamba de Carne de Porco com Carne de Carneiro,Muamba de Carne de Vaca com Coco,Muamba de Carne de Vaca com Banana,Muamba de Carne de Vaca com Mandioca,Muamba de Carne de Vaca com Frutos do Mar,Muamba de Carne de Vaca com Frango,Muamba de Carne de Vaca com Carne de Porco,Muamba de Carne de Vaca com Carne de Carneiro,Muamba de Carne de Carneiro com Coco,Muamba de Carne de Carneiro com Banana,Muamba de Carne de Carneiro com Mandioca,Muamba de Carne de Carneiro com Frutos do Mar,Muamba de Carne de Carneiro com Frango,Muamba de Carne de Carneiro com Carne de Porco,Muamba de Carne de Carneiro com Carne de Vaca,Muamba de Frango com Coco,Muamba de Frango com Banana,Muamba de Frango com Mandioca,Muamba de Frango com Frutos do Mar,Muamba de Frango com Carne de Porco,Muamba de Frango com Carne de Vaca,Muamba de Frango com Carne de Carneiro,Caldo de Peixe,Calulu de Peixe,Caldo de Camarão,Calulu de Camarão,Caldo de Carne de Porco,Calulu de Carne de Porco,Caldo de Carne de Vaca,Calulu de Carne de Vaca,Caldo de Carne de Carneiro,Calulu de Carne de Carneiro,Caldo de Frango,Calulu de Frango,Caldo de Frutos do Mar,Calulu de Frutos do Mar,Muamba de Frutos do Mar com Coco,Muamba de Frutos do Mar com Banana,Muamba de Frutos do Mar com Mandioca,Muamba de Frutos do Mar com Frango,Muamba de Frutos do Mar com Carne de Porco,Muamba de Frutos do Mar com Carne de Vaca,Muamba de Frutos do Mar com Carne de Carneiro,Arroz de Peixe,Arroz de Camarão,Arroz de Carne de Porco,Arroz de Carne de Vaca,Arroz de Carne de Carneiro,Arroz de Frango,Arroz de Frutos do Mar,Arroz de Coco,Arroz de Banana,Arroz de Mandioca,Sopa de Peixe,Sopa de Camarão,Sopa de Carne de Porco,Sopa de Carne de Vaca,Sopa de Carne de Carneiro,Sopa de Frango,Sopa de Frutos do Mar,Sopa de Coco,Sopa de Banana,Sopa de Mandioca,Doce de Banana"
Anguilla,"Saltfish,Conch,Lobster,Rice,Plantains,Fungi,Crab,Cassava,Stewed Chicken,Fish Cakes,Grilled Fish,Curried Goat,Fried Plantains,Johnnycakes,Plantain Chips,Stewed Pork,Fish Fritters,Coconut Bread,Grilled Lobster,Fried Fish,Grilled Shrimp,Roast Beef,Fried Chicken,Boiled Fish,Fried Rice,Beef Stew,Fried Plantain Balls,Fish Soup,Callaloo,Jerk Chicken,BBQ Ribs,Lobster Salad,Roast Pork,Fried Dumplings,Roast Duck,Fried Calamari,Fried Cornish Hen,Fried Conch,Beef Curry,Boiled Plantains,Crab Cakes,Fish Ceviche,Jerk Pork,Fish Balls,Rice and Peas,Grilled Tuna,Fried Okra,Coconut Shrimp,Seafood Chowder,Grilled Octopus,Fried Breadfruit,Fried Snapper,Baked Fish,Fried Sweet Potato,Fried Squid,Stewed Beef,Boiled Dumplings,Roast Turkey,Roasted Plantains,Fish and Chips,Coconut Pudding,Fish Tacos,Coconut Rice,Stuffed Crab,Grilled Swordfish,Lobster Bisque,Boiled Plantain Dumplings,Baked Plantains,Fish Stew,Curried Shrimp,Jerk Fish,Shrimp Fritters,Grilled Mahi Mahi,Mussels,Corn Fritters,Grilled Salmon,Grilled Calamari,Stewed Oxtail,Fried Cassava,Fried Tofu,Fish Salad,Fried Bananas,Curried Chicken,Grilled Vegetables,Stuffed Lobster,Fried Pork,Fried Green Bananas,Fried Tostones,Coconut Milk,Grilled Tofu,Roast Lamb,Fish Burgers,Crab Soup,Boiled Plantain Fritters,Steamed Fish,Conch Fritters,Stewed Vegetables,Seafood Paella,Boiled Yams,Fish Porridge"
Antigua & Barbuda,"Rice and peas,Stewed chicken,Fried fish,Plantains,Fried dumplings,Fungi,Creole,Conch,Callaloo,Saltfish,Lobster,Coconut bread,Johnnycakes,Fungee,Roti,Curry,Pepperpot,Tamarind balls,Fritters,Souse,Saffron cake,Guava cheese,Coconut sweet bread,Bakes,Cassava pudding,Coconut tarts,Pigeon peas,Cornmeal porridge,Fungie,Flying fish,Shark hash,Jerk chicken,Pepper shrimp,Barbuda crab,Barbuda conch,Sea urchin,Plantain chips,Fried plantains,Fried bakes,Conkies,Johnny cakes,Johnny bread,Mauby,Sorrel,Pudding and souse,Sweet potato pudding,Cornbread,Fried bammies,Black cake,Guava jam,Guava jelly,Tamarind sauce,Pepper sauce,Avocado salad,Macaroni pie,Rice and beans,Stewed beef,Boiled dumplings,Peas and rice,Callaloo soup,Fish cakes,Fish broth,Fish tea,Fish and chips,Fish fry,Curried goat,Curried mutton,Curried beef,Jerk pork,Jerk beef,Jerk fish,Jerk shrimp,Jerk chicken wings,Rice and pigeon peas,Rice and vegetables,Fried plantain chips,Sweet potato pie,Fish stew,Fried plantain sandwiches,Plantain fritters,Fried plantain patties,Fried plantain slices,Fried plantain balls,Roast pork,Roast beef,Roast chicken,Roast lamb,Roast turkey,Coconut rice,Coconut milk,Coconut water,Coconut curry,Coconut shrimp,Coconut fish,Coconut chicken,Coconut beef,Coconut stew,Coconut milk pudding,Coconut ice cream,Coconut rum cake"
Argentina,"Asado,Empanadas,Milanesa,Choripán,Churrasco,Chimichurri,Alfajores,Dulce de leche,Locro,Yerba Mate,Provoleta,Matambre,Humita,Pastelitos,Panqueques,Chorizo,Tamales,Chipá,Guiso,Sopa,Carne,Pollo,Pescado,Puchero,Carbonada,Pancho,Sánguche,Patatas fritas,Tarta de manzana,Pastafrola,Queso,Dulce de batata,Tortillas,Ensalada,Tartas,Pan,Helado,Lomito,Pizza,Milanesas de soja,Sorrentinos,Ravioles,Fideos,Humitas,Choripanes,Chorizos,Chinchulines,Choripan con huevo,Pascualina,Tortilla de papas,Pabellón criollo,Estofado,Empanadas de carne,Salchichas,Mollejas,Churrascos,Churrascadas,Choripanes con huevo,Choripanes con queso,Churrascos con queso,Choripanes con jamón,Choripanes con tomate,Choripanes con aceitunas,Choripanes con chorizo,Choripanes con cebolla,Choripanes con ají,Choripanes con mayonesa,Choripanes con salsa criolla,Choripanes con salsa golf,Choripanes con salsa golf y mayonesa,Choripanes con salsa de tomate,Choripanes con salsa de tomate y mayonesa,Choripanes con salsa golf y tomate,Choripanes con salsa golf y tomate y mayonesa,Choripanes con salsa de tomate y ajo,Choripanes con salsa de tomate y ajo y mayonesa,Choripanes con salsa golf y tomate y ajo,Choripanes con salsa golf y tomate y ajo y mayonesa,Choripanes con salsa golf y tomate y ajo y cebolla,Choripanes con salsa golf y tomate y ajo y cebolla y mayonesa,Choripanes con salsa de tomate y ajo y cebolla,Choripanes con salsa de tomate y ajo y cebolla y mayonesa,Choripanes con salsa golf y tomate y ajo y cebolla y aceitunas,Choripanes con salsa golf y tomate y ajo y cebolla y aceitunas y mayonesa,Choripanes con salsa de tomate y ajo y cebolla y aceitunas,Choripanes con salsa de tomate y ajo y cebolla y aceitunas y mayonesa,Choripanes con salsa golf y tomate y ajo y cebolla y aceitunas y chorizo,Choripanes con salsa golf y tomate y ajo y cebolla y aceitunas y chorizo y mayonesa,Choripanes con salsa de tomate y ajo y cebolla y aceitunas y chorizo,Choripanes con salsa de tomate y ajo y cebolla y aceitunas y chorizo y mayonesa,Choripanes con salsa golf y tomate y ajo y cebolla y aceitunas y chorizo y queso,Choripanes con salsa golf y tomate y ajo y cebolla y aceitunas y chorizo y queso y mayonesa,Choripanes con salsa de tomate y ajo y cebolla y aceitunas y chorizo y queso,Choripanes con salsa de tomate y ajo y cebolla y aceitunas y chorizo y queso y mayonesa,Choripanes con salsa golf y tomate y ajo y cebolla y aceitunas y chorizo y queso y jamón,Choripanes con salsa golf y tomate y ajo y cebolla y aceitunas y chorizo y queso y jamón y mayonesa,Choripanes con salsa de tomate y ajo y cebolla y aceitunas y chorizo y queso y jamón,Choripanes con salsa de tomate y ajo y cebolla y aceitunas y chorizo y queso y jamón y mayonesa,Choripanes con salsa golf y tomate y ajo y cebolla y aceitunas y chorizo y queso y jamón y tomate,Choripanes con salsa golf y tomate y ajo y cebolla y aceitunas y chorizo y queso y jamón y tomate y mayonesa"
Armenia,"Dolma,Khorovats,Harissa,Ghapama,Kebab,Lahmajoun,Spas,Piti,Ghapama,Sarma,Khash,Lavash,Gata,Basturma,Tabbouleh,Kheyma,Kufteh,Khorovats,Sujuk,Boureg,Bozbash,Khorovats,Khorovats,Khashlama,Kofta,Soujouk,Khash,Khashlama,Pilaf,Manti,Dolma,Khorovats,Harissa,Ghapama,Kebab,Lahmajoun,Spas,Piti,Ghapama,Sarma,Khash,Lavash,Gata,Basturma,Tabbouleh,Kheyma,Kufteh,Khorovats,Sujuk,Boureg,Bozbash,Khorovats,Khorovats,Khashlama,Kofta,Soujouk,Khash,Khashlama,Pilaf,Manti,Ghapama,Manti,Kebab,Khorovats,Khoresht,Ghapama,Ghapama,Topik,Kebab,Khashlama,Khash,Kheyma,Kheyma,Kebab,Khorovats,Kheyma,Ghapama,Khorovats,Lahmajoun,Basturma,Dolma,Ghapama,Khashlama,Harissa,Kebab,Kebab,Kebab,Khorovats,Khash,Kheyma,Kebab,Piti,Lahmajoun,Kheyma,Kebab,Kebab,Kebab,Kebab,Khashlama,Khorovats"
