country,keywords
Afghanistan,"Juniper,Pistachio,Mulberry,Pomegranate,Fig,Almond,Walnut,Poplar,Willow,Apple,Apricot,Plum,Mulberry,Date,Grape,Quince,Tamarisk,Oak,Maple,Ash,Cedar,Fir,Spruce,Birch,Juniper,Cypress,Eucalyptus,Acacia,Pistacia,Prunus,Tamarix,Salix,Salvia,Artemisia,Astragalus,Onobrychis,Caragana,Hedysarum,Astragalus,Haloxylon,Ephedra,Lycium,Tamarix,Nitraria,Haloxylon,Allium,Anchusa,Verbascum,Centaurea,Echinops,Thymus,Alyssum,Salvia,Euphorbia,Trigonella,Salsola,Sisymbrium,Ferula,Coriandrum,Capparis,Eryngium,Scorzonera,Scorzonera,Artemisia,Trigonella,Lamiaceae,Onobrychis,Astragalus,Vicia,Papaver,Reseda,Teucrium,Anthemis,Mentha,Rhaponticum,Echium,Scorzonera,Helianthemum,Astragalus,Onobrychis,Salvia,Hedysarum,Caragana,Echium,Thymus,Verbascum,Alyssum,Centaurea,Eryngium,Salsola,Sisymbrium,Ferula,Coriandrum,Capparis,Eryngium,Scorzonera,Scorzonera,Artemisia,Trigonella,Lamiaceae"
Albania,"Oak,Beech,Pine,Juniper,Birch,Chestnut,Hazel,Maple,Ash,Alder,Poplar,Elm,Linden,Plane,Fir,Spruce,Cypress,Yew,Olive,Apple,Pear,Plum,Fig,Cherry,Apricot,Walnut,Quince,Almond,Hazelnut,Carob,Poplar,Willow,Eucalyptus,Acacia,Juniper,Tamarisk,Myrtle,Broom,Lavender,Sage,Rosemary,Thyme,Oregano,Marjoram,Mint,Honeysuckle,Ivy,Vines,Ferns,Moss,Lichens,Grasses,Reeds,Rushes,Sedges,Rushes,Palms,Cacti,Succulents,Orchids,Lilies,Poppies,Daisies,Sunflowers,Marigolds,Carnations,Pinks,Primroses,Asters,Columbines,Peonies,Dandelions,Violets,Lupines,Buttercups,Wildflowers,Thistles,Clovers,Geraniums,Daisybushes,Borage,Valerian,Anemones,Gentians,Bellflowers,Butterworts,Daisybushes,Nettles,Knotweeds,Storksbills,Hedge Bindweeds,Mulleins,Chickweeds,Purslanes,Groundsels,Spurges,Spurges,Spurges,Spurges,Spurges"
Algeria,"Olive trees,Date palms,Juniper,Eucalyptus,Cypress,Carob,Cedar,Tamarisk,Acacia,Pistachio,Sage,Thyme,Marjoram,Rosemary,Lavender,Honeysuckle,Fennel,Wild olive,Wild thyme,Mastic,Wild asparagus,Aleppo pine,Oak,Wild fig,Wild almond,Chestnut,Walnut,Pomegranate,Apricot,Plum,Apple,Peach,Quince,Mulberry,Fig,Almond,Strawberry,Wild strawberry,Wild raspberry,Wild blackberry,Wild grapevine,Wild currant,Wild pear,Wild cherry,Wild apple,Wild apricot,Wild quince,Wild plum,Wild melon,Wild cucumber,Wild squash,Wild watermelon,Wild gourd,Wild pumpkin,Wild artichoke,Wild lettuce,Wild endive,Wild chicory,Wild spinach,Wild onion,Wild garlic,Wild asparagus,Wild carrot,Wild parsnip,Wild potato,Wild sweet potato,Wild yam,Wild turnip,Wild radish,Wild beet,Wild saffron,Wild cumin,Wild fennel,Wild anise,Wild coriander,Wild mint,Wild oregano,Wild basil,Wild marjoram,Wild lavender,Wild rosemary,Wild sage,Wild thyme,Wild chamomile,Wild juniper,Wild broom,Wild cypress,Wild tamarisk,Wild mastic,Wild carob,Wild caper,Wild juniper,Wild cistus,Wild spurge,Wild poppies,Wild cornflowers,Wild daisies,Wild lavender,Wild narcissus,Wild crocuses"
American Samoa,"Coconut Palm,Pandanus,Hibiscus,Bougainvillea,Plumeria,Ipomoea,Heliotrope,Poinciana,Banyan Tree,Ironwood,Flame Tree,Areca Palm,Banana Tree,Breadfruit Tree,Acacia,Mango Tree,Eucalyptus,Ti Tree,Hibiscus,Wild Tamarind,Bamboo,Lantana,Allspice,Guava,Starfruit,Papaya,Casuarina,Cordyline,Sea Hibiscus,Firebush,Flame Tree,Coral Tree,Scarlet Flame Tree,Flame of the Forest,Indian Coral Tree,Indian Tree of Heaven,Flame Tree,Red Cedar,Indian Fig,Indian Banyan Tree,Wild Coffee,Indian Mulberry,Jackfruit,Wild Soursop,Wild Mango,Wild Lemon,Wild Orange,Wild Guava,Wild Banana,Wild Papaya,Wild Breadfruit,Wild Coconut,Wild Date Palm,Wild Mangrove,Wild Palmyra Palm,Wild Tamarind,Wild Passion Fruit,Wild Allspice,Wild Hibiscus,Wild Bougainvillea,Wild Ipomoea,Wild Poinciana,Wild Heliotrope,Wild Plumeria,Wild Flame Tree,Wild Areca Palm,Wild Ironwood,Wild Eucalyptus,Wild Ti Tree,Wild Bamboo,Wild Lantana,Wild Starfruit,Wild Casuarina,Wild Cordyline,Wild Firebush,Wild Coral Tree,Wild Scarlet Flame Tree,Wild Flame of the Forest,Wild Indian Coral Tree,Wild Indian Tree of Heaven,Wild Red Cedar,Wild Indian Fig,Wild Indian Banyan Tree,Wild Wild Coffee,Wild Indian Mulberry,Wild Jackfruit,Wild Wild Soursop,Wild Wild Lemon,Wild Wild Orange,Wild Wild Guava,Wild Wild Banana,Wild Wild Papaya,Wild Wild Breadfruit,Wild Wild Coconut,Wild Wild Date Palm,Wild Wild Mangrove,Wild Wild Palmyra Palm,Wild Wild Passion Fruit,Wild Wild Allspice,Wild Wild Hibiscus"
Andorra,"Alpine Grassland,Juniper,Pinus sylvestris,Fagus sylvatica,Quercus,Abies alba,Pinus uncinata,Pinus nigra,Pinus mugo,Pinus uncinata,Pinus halepensis,Quercus pyrenaica,Quercus ilex,Acer pseudoplatanus,Populus tremula,Taxus baccata,Salix,Juniperus oxycedrus,Juniperus communis,Vaccinium myrtillus,Vaccinium uliginosum,Vaccinium vitis-idaea,Vaccinium myrtillus,Vaccinium uliginosum,Vaccinium myrtillus,Vaccinium vitis-idaea,Rubus idaeus,Sorbus aucuparia,Prunus spinosa,Prunus avium,Prunus laurocerasus,Crataegus monogyna,Crataegus laevigata,Rosa canina,Rosa rubiginosa,Rosa,Potentilla,Fragaria vesca,Fragaria moschata,Fragaria,Galium odoratum,Galium,Stellaria,Carex,Festuca,Bromus,Poa,Trifolium,Anthyllis,Genista,Lotus,Helianthemum,Helichrysum,Onobrychis,Potentilla,Centaurea,Centaurea,Centaurea,Centaurea,Centaurea,Centaurea,Centaurea,Centaurea,Centaurea,Centaurea,Centaurea,Centaurea,Centaurea,Centaurea,Centaurea,Centaurea,Centaurea,Centaurea,Centaurea,Centaurea,Centaurea,Centaurea,Centaurea,Centaurea,Centaurea,Centaurea,Centaurea,Centaurea,Centaurea,Centaurea,Centaurea,Centaurea,Centaurea,Centaurea,Centaurea,Centaurea,Centaurea,Centaurea,Centaurea,Centaurea,Centaurea,Centaurea,Centaurea,Centaurea,Centaurea"
Angola,"Acacia,Baobab,Bamboo,Bushwillow,Calotropis,Cashew,Coconut,Date Palm,Eucalyptus,Ficus,Flame Tree,Gum Tree,Hibiscus,Ironwood,Jackalberry,Kapok,Leadwood,Mahogany,Marula,Mopane,Oil Palm,Olive,Palmyra Palm,Papaya,Pepper Tree,Plum Tree,Raffia Palm,Redwood,Rubber Tree,Sausage Tree,Shea Tree,Silk Cotton Tree,Sourplum,Tamarind,Teak,Terminalia,Umbrella Thorn,Wild Date Palm,Wild Fig,Wild Olive,Acokanthera,Albizia,Aloe,Anthocleista,Baobab Tree,Barringtonia,Bauhinia,Bombax,Borassus,Brachystegia,Burkea,Canarium,Carapa,Celtis,Combretum,Croton,Cynometra,Dalbergia,Diospyros,Dombeya,Erythrina,Euclea,Faidherbia,Flacourtia,Gardenia,Grewia,Guibourtia,Harpephyllum,Hyphaene,Indigofera,Jatropha,Lannea,Loxostylis,Manilkara,Mimusops,Monodora,Mundulea,Myrianthus,Newtonia,Ochna,Olea,Peltophorum,Pentaclethra,Phoenix,Piliostigma,Pithecellobium,Prosopis,Pterocarpus,Rhus,Ricinodendron,Sapium,Schinziophyton,Securinega,Strychnos,Tabernaemontana,Teclea,Terminalia,Thunbergia,Ximenia,Ziziphus"
Anguilla,"Acacia,Cactus,Sea Grape,Ironwood,Guava,Tamarind,Turpentine Tree,Wild Sage,Wild Coffee,Wild Tamarind,Barbados Cherry,Coccoloba,Sea Lavender,Sea Purslane,Mangrove,Beach Hibiscus,Sea Grape,Beach Almond,Sea Almond,Beach Morning Glory,Beach Bean,Beach Elder,Beach Vitex,Beach Elderberry,Beach Hibiscus,Beach Heliotrope,Beach Elder,Beach Morning Glory,Beach Heliotrope,Beach Verbena,Beach Elderberry,Beach Verbena,Beach Heliotrope,Beach Verbena,Beach Heliotrope,Beach Verbena,Beach Heliotrope,Beach Verbena,Beach Heliotrope,Beach Verbena,Beach Heliotrope,Beach Verbena,Beach Heliotrope,Beach Verbena,Beach Heliotrope,Beach Verbena,Beach Heliotrope,Beach Verbena,Beach Heliotrope,Beach Verbena,Beach Heliotrope,Beach Verbena,Beach Heliotrope,Beach Verbena,Beach Heliotrope,Beach Verbena,Beach Heliotrope,Beach Verbena,Beach Heliotrope,Beach Verbena,Beach Heliotrope,Beach Verbena,Beach Heliotrope,Beach Verbena,Beach Heliotrope,Beach Verbena,Beach Heliotrope,Beach Verbena,Beach Heliotrope,Beach Verbena,Beach Heliotrope,Beach Verbena,Beach Heliotrope,Beach Verbena,Beach Heliotrope,Beach Verbena,Beach Heliotrope,Beach Verbena,Beach Heliotrope,Beach Verbena,Beach Heliotrope,Beach Verbena,Beach Heliotrope,Beach Verbena,Beach Heliotrope,Beach Verbena,Beach Heliotrope,Beach Verbena,Beach Heliotrope,Beach Verbena,Beach Heliotrope,Beach Verbena,Beach Heliotrope,Beach Verbena,Beach Heliotrope,Beach Verbena,Beach Heliotrope,Beach Verbena,Beach Heliotrope,Beach Verbena"
Antigua & Barbuda,"Palms,Mahogany,Coconut,Sea Grape,Sea Island Cotton,Sea Lavender,Wild Tamarind,Bitterbush,Cabbage Palm,Silver Thatch Palm,White Cedar,Yellow Elder,Caribbean Pine,Ironwood,West Indian Mahogany,White Cedar,Casuarina,Guava,Breadfruit,Hog Plum,Mango,Papaya,Soursop,Bay Cedar,Poisonwood,Red Mangrove,Black Mangrove,White Mangrove,Cocoplum,Wild Coffee,Spanish Stopper,Wild Olive,West Indian Cherry,Wild Tamarind,Jamaica Dogwood,Wild Plum,Hog Plum,Sea Grape,Sea Lavender,Beach Almond,Wild Tamarind,Cabbage Palm,Silver Thatch Palm,White Cedar,Yellow Elder,Caribbean Pine,Ironwood,West Indian Mahogany,White Cedar,Casuarina,Guava,Breadfruit,Hog Plum,Mango,Papaya,Soursop,Bay Cedar,Poisonwood,Red Mangrove,Black Mangrove,White Mangrove,Cocoplum,Wild Coffee,Spanish Stopper,Wild Olive,West Indian Cherry,Wild Tamarind,Jamaica Dogwood,Wild Plum,Hog Plum,Sea Grape,Sea Lavender,Beach Almond,Wild Tamarind,Cabbage Palm,Silver Thatch Palm,White Cedar,Yellow Elder,Caribbean Pine,Ironwood,West Indian Mahogany,White Cedar,Casuarina,Guava,Breadfruit,Hog Plum,Mango,Papaya,Soursop,Bay Cedar,Poisonwood,Red Mangrove,Black Mangrove,White Mangrove,Cocoplum,Wild Coffee,Spanish Stopper,Wild Olive,West Indian Cherry,Wild Tamarind"
Argentina,"Patagonian Cypress,Chilean Wine Palm,Yungas Forest,Araucaria Forest,Quebracho,Eucalyptus,Quebracho Blanco,Lenga Beech,Algarrobo,Aliso,Chachihuate,Chilca,Espinal,Espinillo,Jarilla,Jarillal,Palo Santo,Quebracho Colorado,Quebracho Colorado,Quebracho Negro,Quebracho Rojo,Quebracho Salado,Queñoa,Queñoa del Monte,Quillay,Tala,Tamarugo,Tuna,Yareta,Acacia,Algarrobo Negro,Algarrobo Blanco,Araucaria,Bolaina,Cañuela,Carob Tree,Espino,Espino Blanco,Espino Colorado,Espino Rojo,Espino Amarillo,Guayacan,Huarango,Jaboncillo,Junco,Matorral,Mulga,Palo Blanco,Palo Colorado,Palo Verde,Palo Amarillo,Palo Negro,Palo Rojo,Palo Santo,Palo Cenizo,Peumo,Quillayes,Queñoa del Valle,Quina,Retamo,Retama,Roble,Tamarindo,Tuna Blanca,Tuna Roja,Tuna Negra,Tuna Amarilla,Tuna Colorado,Tucumano,Uña de Gato,Uvilla,Vinal,Yagua,Yareta,Yatay,Yerba Mate,Yuyo,Algarroba,Arrayan,Arrayanes,Arrayanes del Monte,Arrayanes del Valle,Arrayanes del Bosque,Arrayanes del Desierto,Arrayanes del Monte,Arrayanes del Valle,Arrayanes del Bosque,Arrayanes del Desierto,Arrayanes de la Puna,Arrayanes de los Andes,Arrayanes de la Meseta,Arrayanes de la Selva,Arrayanes de la Costa,Arrayanes de la Patagonia,Arrayanes de la Tierra del Fuego,Arrayanes de la Isla de Tierra del Fuego,Arrayanes de la Isla de los Estados,Arrayanes de la Península de Valdés,Arrayanes de la Isla de los Estados,Arrayanes de la Península de Valdés"
Armenia,"Alpine meadow,Apple trees,Apricot trees,Beech trees,Birch trees,Boxwood,Chestnut trees,Cypress trees,Elm trees,Fir trees,Ginkgo biloba,Hazelnut trees,Juniper trees,Larch trees,Maple trees,Oak trees,Olive trees,Pine trees,Poplar trees,Quercus macranthera,Rhododendron,Spruce trees,Sycamore trees,Tamarisk,Walnut trees,Willow trees,Yew trees,Acacia,Astragalus,Balsam,Borage,Campanula,Caraway,Cinquefoil,Clover,Coltsfoot,Cowslip,Dandelion,Eryngium,Fennel,Gentian,Geranium,Gladiolus,Honeysuckle,Hyacinth,Iris,Lavender,Lemna,Lilac,Meadow grass,Meadow rue,Mint,Mullein,Narcissus,Nettles,Orchids,Pansies,Poppies,Primrose,Rose,Sage,Snapdragon,Speedwell,St John's wort,Thistle,Violets,Wild garlic,Wild thyme,Wormwood,Amaranth,Buckwheat,Chickpea,Lentils,Millet,Oats,Rye,Sorghum,Wheat,Alfalfa,Barley,Clover,Flax,Peas,Vetches,Wild rye,Artichoke,Asparagus,Broccoli,Brussels sprouts,Cabbage,Carrots,Cauliflower,Celery,Chicory,Eggplant,Garlic,Kale,Onions,Peppers,Potatoes"
