country,keywords
Afghanistan,"Hot,Dry,Arid,Humid,Temperate,Mountainous,Desert,Extreme,Continental,Cold,Windy,Severe,Variable,Rainy,Unpredictable,Snowy,Monsoonal,Subtropical,Unstable,Harsh"
Albania,"Mediterranean,Mild,Temperate,Hot Summers,Cold Winters,Rainy,Snowy,Humid,Sunny,Windy,Changeable,Oceanic,Continental,Mountainous,Coastal,Mediterranean Climate,Alpine Climate,Subtropical Climate,Mediterranean-Continental Climate,Mediterranean-Mountain Climate"
Algeria,"Hot,Arid,Dry,Mediterranean,Humid,Subtropical,Desert,Mild,Temperate,Continental,Summer,Winter,Spring,Fall,Rainy,Windy,Stormy,Sunny,Cloudy,Variable"
American Samoa,"Tropical,Humid,Hot,Wet,Rainy,Oceanic,Maritime,Warm,Temperate,Mild,Summer,Windy,Stormy,Monsoons,Cyclones,Hurricanes,Cloudy,Humidity,Sunshine,Tropical Storms"
Andorra,"Mild,Temperate,Mediterranean,Alpine,Snowy,Rainy,Dry,Humid,Hot Summers,Cold Winters,Low Precipitation,High Altitude,Mountainous,Windy,Sunny,Cloudy,Foggy,Variable,Pleasant,Moderate"
Angola,"Hot,Humid,Tropical,Rainy,Wet,Dry,Desert,Arid,Monsoon,Rainforest,Savannah,Subtropical,Mild,Temperate,Windy,Stormy,Seasonal,Variable,Coastal,Mountainous"
Anguilla,"Tropical,Humid,Warm,Arid,Sunny,Mild,Hot,Rainy,Dry,Breezy,Humid,Pleasant,Balmy,Cool,Rainfall,Temperatures,Trade Winds,Low Humidity,Low Precipitation,Sea Breezes"
Antigua & Barbuda,"Tropical,Humid,Hot,Rainy,Warm,Arid,Sunny,Windy,Mild,Humid Subtropical,Monsoon,Dry,Mild Winters,Cool Nights,High Temperatures,Trade Winds,Low Humidity,Ocean Breezes,Seasonal Rainfall,High Humidity"
Argentina,"Humid,Temperate,Variable,Subtropical,Mild,Hot,Dry,Rainy,Windy,Snowy,Cool,Warm,Oceanic,Semi-arid,Polar,Mediterranean,Continental,Subarctic,Alpine,Desert"
Armenia,"Mild,Temperate,Continental,Four Seasons,Hot Summers,Cold Winters,Rainy Spring,Dry Autumn,Mountainous,Humid,Arid,Sunny,Snowy,Mediterranean,Windy,Extremely Cold,Extremely Hot,High Altitude,Variable,Changeable"
Aruba,"Tropical,Arid,Hot,Humid,Sunny,Warm,Dry,Windy,Rainy Season,Temperatures,Mild,Constant,Ocean Breeze,Humidity,Cooling Trade Winds,Little Rainfall,Pleasant,Year-Round Sunshine,Rain Showers,Comfortable Climate"
Australia,"Hot,Dry,Humid,Temperate,Tropical,Arid,Mild,Rainy,Sunny,Windy,Cool,Wet,Changeable,Coastal,Desert,Monsoonal,Oceanic,Subtropical,Continental,Mediterranean"
Austria,"Cold,Temperate,Snowy,Humid,Alpine,Rainy,Mild,Continental,Summers,Winters,Damp,Windy,Foggy,Sunny,Oceanic,Variable,Breezy,Sub-alpine,Polar,Arctic"
Azerbaijan,"Hot,Humid,Semi-arid,Subtropical,Mediterranean,Mild Winters,Warm Summers,Rainy,Snowy,Windy,Dry,Continental,Temperate,Arid,Variable,Sunny,Variable Rainfall,Harsh Winters,Hot Summers,Mountainous"
Bahamas,"Tropical,Humid,Hot,Warm,Sunny,Rainy,Windy,Mild,Arid,Subtropical,Mild winters,Hot summers,Humid summers,Dry season,Wet season,Hurricane season,Oceanic climate,Caribbean climate,Low elevation,High temperatures"
Bahrain,"Humid,Hot,Arid,Sunny,Dry,Temperatures,Rainfall,Windy,Summer,Winter,Mild,Coastal,Subtropical,Desert,Oceanic,Tropical,Humidity,Rainy,Dusty,Thunderstorms"
Bangladesh,"Humid,Monsoons,Hot,Tropical,Rainy,Wet,Summer,Winter,Dry,Storms,Windy,Rainfall,Cyclones,Floods,Heat Waves,Humidity,Foggy,Jhum Cultivation,Sea Level Rise,Air Pollution"
Barbados,"Tropical,Humid,Hot,Wet,Sunny,Rainy,Windy,Warm,Dry,Mild,Pleasant,Cool,Hotter,Sunnier,Humidified,Drier,Cooler,Breezy,Rainfall,Temperatures"
Belarus,"Humid,Continental,Mild,Temperate,Changeable,Variable,Moderate,Rainy,Summers,Winters,Warm,Cool,Snowy,Stormy,Foggy,Cloudy,Breezy,Humid continental,Four seasons,Precipitation"
Belgium,"Mild,Temperate,Maritime,Oceanic,Humid,Rainy,Moderate,Variable,Changeable,Cool,Four Seasons,Summer,Winter,Spring,Autumn,Cloudy,Foggy,Windy,Stormy,Precipitation"
Belize,"Tropical,Humid,Rainy,Hot,Wet,Mild,Warm,Sunny,Dry,Cool,Breezy,Humid,Muggy,Pleasant,Variable,Comfortable,Changeable,Mildly Hot,Mildly Cool,Seasonal"
Benin,"Humid,Tropical,Rainy,Hot,Monsoons,Wet,Dry,Temperatures,Rainfall,Humidity,Sunshine,Storms,Windy,Seasons,Coastal,Arid,Cool,Savannah,Subtropical,Intertropical Convergence Zone (ITCZ)"
Bermuda,"Warm,Humid,Subtropical,Oceanic,Mild,Temperate,Rainy,Hot,Sunny,Breezy,Pleasant,Calm,Humid Subtropical,Oceanic Climate,Tropical Storms,High Humidity,Mild Winters,Summer Heat,Hurricane Season,Year-Round Sunshine"
Bhutan,"Subtropical,Humid,Monsoon,Mild,Temperate,Mountainous,Rainy,Snowy,Warm,Cool,Hot,Dry,Cooler,Wet,Windy,Variable,Moderate,Changeable,Pleasant,Milder"
